Apellido Paterno,Apellido Materno,Nombre,Nivel,Institución de Adscripción,Área del Conocimiento
ALVAREZ,JIMENEZ,CARLOS,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,DEL RIO,MARIA ASUNCION,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,SALAS,OMAR DANIEL,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,SANCHEZ,ADRIANA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,RAYON,GEORGINA LETICIA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,LARRAIN,ALINA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ,FRAGOSO,OCTAVIO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALVAREZ,PEREZ,MARCO ANTONIO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
ALVAREZ BUYLLA,ROCES,MARIA ELENA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: BIOLOGÍA Y QUÍMICA
ALVAREZ ICAZA,LONGORIA,MARIA TERESA,1,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: HUMANIDADES Y CIENCIAS DE LA CONDUCTA
ALVAREZ ICAZA,LONGORIA,LUIS AGUSTIN,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: INGENIERÍAS
AMADOR,BAUTISTA,MARIA DEL ROCIO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: CIENCIAS SOCIALES
